Community,District
Adams,District 2
Adams-La Brea,District 2
Agoura Hills,District 3
Agua Dulce,District 5
Alhambra,District 5
Alondra Park,District 2
Altadena,District 5
Angeles National Forest,District 5
Arcadia,District 5
Arleta,District 3
Arroyo Seco,District 1
Artesia,District 4
Atwater Village,District 3
Avalon,District 4
Avocado Heights,District 1
Azusa,District 1
Baldwin Hills/Crenshaw,District 2
Baldwin Park,District 1
Bel Air-Beverly Crest,District 3
Bell,District 1
Bell Gardens,District 1
Bellflower,District 4
Beverly Hills,District 3
Boyle Heights,District 1
Bradbury,District 5
Brentwood,District 3
Burbank,District 5
Calabasas,District 3
Calabasas and Hidden Hills,District 3
Canoga Park,District 3
Canoga Park,District 5
Canyon County,District 5
Carson,District 2
Central Alameda,District 1
Cerritos,District 4
Charter Oak,District 5
Chatsworth,District 5
Chinatown,District 1
Citrus,District 5
Claremont,District 1
Commerce,District 1
Compton,District 2
Covina,District 5
Cudahy,District 1
Culver City,District 2
Cypress Park,District 1
Del Aire,District 2
Del Rey,District 2
Diamond Bar,District 4
Downey,District 4
Downtown Los Angeles,District 1
Duarte,District 5
Eagle Rock,District 1
East Los Angeles,District 1
East Pasadena,District 5
East San Gabriel,District 5
Echo Park,District 1
El Monte,District 1
El Segundo,District 4
El Sereno,District 1
Elysian Valley,District 1
Encino,District 3
Florence-Graham,District 2
Foothill Trails,District 3
Foothill Trails,District 5
Gardena,District 2
Glassell Park,District 1
Glendora,District 5
Granada Hills,District 5
Green Meadows,District 2
Hacienda Heights,District 4
Harbor City,District 4
Harbor Gateway,District 2
Hawaiian Gardens,District 4
Hawthorne,District 2
Hermosa Beach,District 4
Highland Park,District 1
Hollywood,District 3
Hollywood Hills West,District 3
Huntington Park,District 1
Industry,District 1
Inglewood,District 2
Irwindale,District 1
Kinneloa Mesa,District 5
La Cañada Flintridge,District 5
La Crescenta-Montrose,District 5
La Habra Heights,District 4
La Mirada,District 4
La Puente,District 1
La Rambla,District 4
La Verne,District 5
Ladera Heights,District 2
Lake Balboa,District 3
Lakewood,District 4
Lancaster,District 5
Lawndale,District 2
Lennox,District 4
Lincoln Heights,District 1
Lomita,District 4
Los Feliz,District 3
Lynwood,District 2
Malibu,District 3
Malibu Lake,District 3
Manhattan Beach,District 4
Mar Vista,District 2
Marina del Rey,District 2
Marina del Rey,District 4
Mayflower Village,District 5
Maywood,District 1
Mid City,District 2
Mid-City West,District 2
Mid-City West,District 3
Miracle Mile,District 2
Mission Hills,District 3
Monrovia,District 5
Montebello,District 1
Monterey Park,District 1
North El Monte,District 5
North Hills,District 3
North Hollywood,District 3
Northridge,District 3
Norwalk,District 4
Pacific Palisades,District 3
Pacoima,District 3
Palmdale,District 5
Palms,District 2
Palos Verdes Estates,District 4
Panorama City,District 3
Paramount,District 4
Pico Rivera,District 1
Pico Union,District 1
Pico Union,District 2
Pomona,District 1
Porter Ranch,District 5
Rampart Village,District 1
Rampart Village,District 2
Rancho Palos Verdes,District 4
Redondo Beach,District 4
Reseda,District 3
Rolling Hills,District 4
Rolling Hills Estates,District 4
Rosemead,District 1
Rowland Heights,District 4
San Dimas,District 5
San Fernando,District 3
San Gabriel,District 5
San Marino,District 5
San Pasqual,District 5
San Pedro,District 4
Santa Clarita,District 5
Santa Fe Springs,District 4
Santa Monica,District 3
Santa Susana Mountains,District 5
Sherman Oaks,District 3
Sierra Madre,District 5
Signal Hill,District 4
Silver Lake,District 1
Silver Lake,District 3
Skid Row,District 2
South Central,District 1
South Central,District 2
South El Monte,District 1
South Gate,District 1
South Park,District 2
South Pasadena,District 5
South San Gabriel,District 1
South San Jose Hills,District 1
South Vermont,District 2
South Whittier,District 1
South Whittier,District 4
Stevenson Ranch,District 5
Studio City,District 3
Sun Valley,District 3
Sun Valley,District 5
Sunland-Tujunga,District 5
Sylmar,District 3
Tarzana,District 3
Temple City,District 1
Temple City,District 5
Topanga,District 3
Torrance,District 4
Unincorporated Antelope Valley,District 5
Unincorporated Catalina,District 2
Unincorporated Compton,District 2
Unincorporated East Whittier,District 4
Unincorporated Whittier,District 4
Universal City,District 3
University Park,District 2
US Department of Veterans Affairs West LA Campus,District 3
Valinda,District 1
Valley Village,District 3
Van Nuys,District 3
Venice,District 2
Venice,District 3
Vermont Square,District 2
Vernon,District 1
View Park-Windsor Hills,District 2
Vincent,District 1
Walnut,District 1
Walnut Park,District 1
Watts,District 2
West Adams-Expo Park,District 2
West Carson,District 2
West Compton,District 2
West Covina,District 1
West Hills,District 3
West Hills,District 5
West Hollywood,District 3
West Los Angeles,District 3
West Puente Valley,District 1
West Whittier-Los Nietos,District 1
West Whittier-Los Nietos,District 4
Westchester/Playa Del Ray,District 4
Westlake,District 1
Westlake Village,District 3
Westmont/West Athens,District 2
Westside,District 2
Westside,District 3
Westwood,District 3
Whittier,District 4
Whittier Narrows,District 1
Willowbrook,District 2
Wilmington,District 4
Wishire Center-Koreatown,District 2
Wishire Center-Koreatown,District 3
Winnetka,District 3
Woodland Hills,District 3
