tract,Community_Name
221500,Adams
221601,Adams
221710,Adams
221810,Adams
221820,Adams
221900,Adams
222001,Adams
222002,Adams
222100,Adams
222200,Adams
222500,Adams
222600,Adams
222700,Adams
231210,Adams
231220,Adams
231300,Adams
231400,Adams
219500,Adams-La Brea
219700,Adams-La Brea
219800,Adams-La Brea
219901,Adams-La Brea
219902,Adams-La Brea
220000,Adams-La Brea
220100,Adams-La Brea
800324,Agoura Hills
800327,Agoura Hills
800328,Agoura Hills
800331,Agoura Hills
800332,Agoura Hills
920011,Agua Dulce
920102,Agua Dulce
920104,Agua Dulce
920106,Agua Dulce
920116,Agua Dulce
920118,Agua Dulce
920119,Agua Dulce
920200,Agua Dulce
480302,Alhambra
480303,Alhambra
480304,Alhambra
480400,Alhambra
480802,Alhambra
480803,Alhambra
480804,Alhambra
480901,Alhambra
480902,Alhambra
480903,Alhambra
481001,Alhambra
481002,Alhambra
481500,Alhambra
481603,Alhambra
481604,Alhambra
481605,Alhambra
481606,Alhambra
481800,Alhambra
481901,Alhambra
481902,Alhambra
603702,Alondra Park
603704,Alondra Park
460100,Altadena
460200,Altadena
460301,Altadena
460302,Altadena
461000,Altadena
461100,Altadena
461200,Altadena
461300,Altadena
104124,Angeles National Forest
930101,Angeles National Forest
930200,Angeles National Forest
930301,Angeles National Forest
430400,Arcadia
430600,Arcadia
430701,Arcadia
430721,Arcadia
430723,Arcadia
430724,Arcadia
430801,Arcadia
430802,Arcadia
430803,Arcadia
431600,Arcadia
431700,Arcadia
119001,Arleta
119002,Arleta
119201,Arleta
119202,Arleta
119400,Arleta
119700,Arleta
119800,Arleta
183702,Arroyo Seco
185100,Arroyo Seco
185202,Arroyo Seco
186202,Arroyo Seco
186203,Arroyo Seco
199300,Arroyo Seco
199400,Arroyo Seco
201302,Arroyo Seco
554801,Artesia
554802,Artesia
554900,Artesia
187101,Atwater Village
187102,Atwater Village
188100,Atwater Village
188300,Atwater Village
599000,Avalon
408301,Avocado Heights
408302,Avocado Heights
408303,Avocado Heights
400602,Azusa
400603,Azusa
400604,Azusa
404201,Azusa
404202,Azusa
404301,Azusa
404302,Azusa
404401,Azusa
404402,Azusa
404501,Azusa
404503,Azusa
404504,Azusa
234000,Baldwin Hills / Crenshaw
234200,Baldwin Hills / Crenshaw
234300,Baldwin Hills / Crenshaw
234501,Baldwin Hills / Crenshaw
234502,Baldwin Hills / Crenshaw
234600,Baldwin Hills / Crenshaw
234700,Baldwin Hills / Crenshaw
234800,Baldwin Hills / Crenshaw
234901,Baldwin Hills / Crenshaw
234902,Baldwin Hills / Crenshaw
235100,Baldwin Hills / Crenshaw
235201,Baldwin Hills / Crenshaw
235202,Baldwin Hills / Crenshaw
236000,Baldwin Hills / Crenshaw
236100,Baldwin Hills / Crenshaw
236202,Baldwin Hills / Crenshaw
236203,Baldwin Hills / Crenshaw
236204,Baldwin Hills / Crenshaw
236400,Baldwin Hills / Crenshaw
404701,Baldwin Park
404702,Baldwin Park
404703,Baldwin Park
404801,Baldwin Park
404802,Baldwin Park
404803,Baldwin Park
404901,Baldwin Park
404902,Baldwin Park
404903,Baldwin Park
405001,Baldwin Park
405002,Baldwin Park
405101,Baldwin Park
405102,Baldwin Park
405201,Baldwin Park
405202,Baldwin Park
405203,Baldwin Park
194200,Bel Air-Beverly Crest
194300,Bel Air-Beverly Crest
261101,Bel Air-Beverly Crest
261102,Bel Air-Beverly Crest
261200,Bel Air-Beverly Crest
262100,Bel Air-Beverly Crest
262200,Bel Air-Beverly Crest
532304,Bell
533601,Bell
533602,Bell
533603,Bell
533803,Bell
533804,Bell
533805,Bell
533806,Bell
533901,Bell Gardens
533902,Bell Gardens
534001,Bell Gardens
534002,Bell Gardens
534101,Bell Gardens
534102,Bell Gardens
534201,Bell Gardens
534202,Bell Gardens
534203,Bell Gardens
553100,Bellflower
553200,Bellflower
553300,Bellflower
554001,Bellflower
554002,Bellflower
554101,Bellflower
554103,Bellflower
554104,Bellflower
554105,Bellflower
554201,Bellflower
554203,Bellflower
554204,Bellflower
554301,Bellflower
554302,Bellflower
554403,Bellflower
554404,Bellflower
554405,Bellflower
554406,Bellflower
700600,Beverly Hills
700700,Beverly Hills
700801,Beverly Hills
700802,Beverly Hills
700901,Beverly Hills
700902,Beverly Hills
701000,Beverly Hills
203100,Boyle Heights
203200,Boyle Heights
203500,Boyle Heights
203600,Boyle Heights
203710,Boyle Heights
203720,Boyle Heights
203800,Boyle Heights
203900,Boyle Heights
204110,Boyle Heights
204120,Boyle Heights
204200,Boyle Heights
204300,Boyle Heights
204410,Boyle Heights
204420,Boyle Heights
204600,Boyle Heights
204700,Boyle Heights
204810,Boyle Heights
204820,Boyle Heights
204910,Boyle Heights
204920,Boyle Heights
205110,Boyle Heights
205120,Boyle Heights
206032,Boyle Heights
206050,Boyle Heights
430200,Bradbury
262301,Brentwood
262302,Brentwood
262303,Brentwood
262400,Brentwood
264000,Brentwood
264102,Brentwood
264103,Brentwood
264301,Brentwood
264302,Brentwood
265410,Brentwood
310100,Burbank
310201,Burbank
310202,Burbank
310300,Burbank
310400,Burbank
310501,Burbank
310601,Burbank
310602,Burbank
310701,Burbank
310702,Burbank
310703,Burbank
310800,Burbank
310900,Burbank
311000,Burbank
311100,Burbank
311200,Burbank
311300,Burbank
311400,Burbank
311500,Burbank
311600,Burbank
311700,Burbank
311801,Burbank
311802,Burbank
980001,Burbank
800101,Calabasas
800202,Calabasas
800203,Calabasas and Hidden Hills
800204,Calabasas and Hidden Hills
113233,Canoga Park
113234,Canoga Park
134201,Canoga Park
134303,Canoga Park
134304,Canoga Park
134305,Canoga Park
134306,Canoga Park
134520,Canoga Park
134521,Canoga Park
134522,Canoga Park
910808,Canyon Country
910810,Canyon Country
920026,Canyon Country
920033,Canyon Country
541002,Carson
543304,Carson
543306,Carson
543321,Carson
543322,Carson
543400,Carson
543501,Carson
543601,Carson
543604,Carson
543701,Carson
543702,Carson
543703,Carson
543801,Carson
543802,Carson
543903,Carson
543905,Carson
544001,Carson
544002,Carson
980002,Carson
980025,Carson
228220,Central Alameda
228710,Central Alameda
228720,Central Alameda
228800,Central Alameda
228900,Central Alameda
229100,Central Alameda
554511,Cerritos
554512,Cerritos
554513,Cerritos
554514,Cerritos
554515,Cerritos
554516,Cerritos
554517,Cerritos
554518,Cerritos
554519,Cerritos
554521,Cerritos
554522,Cerritos
403801,Charter Oak
403802,Charter Oak
113101,Chatsworth
113102,Chatsworth
113211,Chatsworth
113212,Chatsworth
113213,Chatsworth
113235,Chatsworth
113237,Chatsworth
113303,Chatsworth
113321,Chatsworth
113322,Chatsworth
980023,Chatsworth
197700,Chinatown
206010,Chinatown
206020,Chinatown
207101,Chinatown
207102,Chinatown
207103,Chinatown
404000,Citrus
404100,Citrus
400205,Claremont
400206,Claremont
401701,Claremont
401800,Claremont
401901,Claremont
401902,Claremont
402001,Claremont
402002,Claremont
532302,Commerce
532303,Commerce
541200,Compton
541300,Compton
541603,Compton
541604,Compton
541605,Compton
541606,Compton
542000,Compton
542105,Compton
542106,Compton
542200,Compton
542401,Compton
542402,Compton
542501,Compton
542502,Compton
542601,Compton
542602,Compton
542700,Compton
542800,Compton
542900,Compton
543000,Compton
543100,Compton
543201,Compton
543202,Compton
403500,Covina
403600,Covina
403702,Covina
403721,Covina
403722,Covina
405701,Covina
405702,Covina
405800,Covina
405900,Covina
406000,Covina
406101,Covina
406102,Covina
534301,Cudahy
534302,Cudahy
534403,Cudahy
534404,Cudahy
534405,Cudahy
534406,Cudahy
702400,Culver City
702501,Culver City
702502,Culver City
702600,Culver City
702700,Culver City
702801,Culver City
702802,Culver City
702803,Culver City
703001,Culver City
185203,Cypress Park
185204,Cypress Park
185310,Cypress Park
185320,Cypress Park
